fish_ID,date,time,spot,background,stimulus,correct,number_incorrect_pecks,time_detection_seconds,contrast
D,14/11/2017,14:00:00,dark,2bright,48-48-48,1,0,2.06,0.197223484
O,11/07/2017,13:00:00,dark,2bright,30-30-30,1,0,2.06,0.369359853
J,11/07/2017,14:00:00,bright,1dark,63-58-55,1,0,2.07,0.119903714
S,11/01/2017,14:00:00,dark,2bright,30-30-30,1,0,2.07,0.369359853
S,31/10/2017,15:00:00,bright,2bright,plain,1,0,2.07,0.419240736
H,11/03/2017,15:00:00,dark,2bright,58-54-52,1,0,2.09,0.11571537
R,14/11/2017,14:00:00,bright,1dark,66-58-55,1,0,2.09,0.148335617
D,20/10/2017,13:00:00,bright,2bright,85-75-75,1,0,2.09,0.217397242
C,11/03/2017,15:00:00,bright,1dark,85-75-75,1,0,2.09,0.36590405
B,27/10/2017,10:00:00,dark,2bright,30-30-30,1,0,2.09,0.369359853
G,11/07/2017,15:00:00,dark,1dark,40-40-40,1,0,2.1,0.125392552
H,27/10/2017,10:00:00,bright,2bright,85-75-75,1,0,2.1,0.217397242
F,16/11/2017,10:00:00,dark,2bright,30-30-30,1,0,2.1,0.369359853
O,31/10/2017,15:00:00,bright,2bright,plain,1,0,2.1,0.419240736
T,11/06/2017,14:00:00,bright,1dark,55-55-55,1,0,2.12,0.098101105
C,11/06/2017,15:00:00,bright,1dark,66-58-55,1,0,2.12,0.148335617
B,27/10/2017,10:00:00,bright,2bright,85-75-75,1,0,2.12,0.217397242
T,23/10/2017,10:00:00,dark,1dark,30-30-30,1,0,2.12,0.227340804
B,11/09/2017,14:00:00,bright,2bright,plain,1,0,2.12,0.419240736
D,23/10/2017,12:00:00,dark,2bright,50-50-50,1,0,2.13,0.146998711
E,11/06/2017,14:00:00,dark,2bright,50-50-50,1,0,2.13,0.146998711
H,11/08/2017,14:00:00,dark,2bright,50-50-50,1,0,2.13,0.146998711
O,20/10/2017,10:00:00,dark,2bright,50-50-50,1,0,2.13,0.146998711
I,11/10/2017,10:00:00,bright,1dark,66-58-55,1,0,2.13,0.148335617
R,11/10/2017,10:00:00,bright,1dark,66-58-55,1,0,2.13,0.148335617
G,11/09/2017,15:00:00,dark,1dark,36-36-36,1,0,2.13,0.162338153
I,11/07/2017,15:00:00,dark,1dark,36-36-36,1,0,2.13,0.162338153
T,11/10/2017,10:00:00,dark,1dark,36-36-36,1,0,2.13,0.162338153
E,27/10/2017,10:00:00,bright,2bright,85-75-75,1,0,2.13,0.217397242
O,23/10/2017,11:00:00,dark,2bright,50-50-50,1,0,2.15,0.146998711
G,27/10/2017,10:00:00,dark,1dark,36-36-36,1,0,2.15,0.162338153
M,27/10/2017,10:00:00,dark,2bright,30-30-30,1,0,2.15,0.369359853
N,11/07/2017,13:00:00,dark,1dark,45-45-45,1,0,2.16,0.07566594
R,11/01/2017,14:00:00,bright,1dark,55-55-55,1,0,2.16,0.098101105
N,11/06/2017,14:00:00,bright,1dark,63-58-55,1,0,2.16,0.119903714
B,25/10/2017,11:00:00,dark,2bright,30-30-30,1,0,2.16,0.369359853
R,13/11/2017,15:00:00,bright,1dark,55-55-55,1,0,2.18,0.098101105
C,31/10/2017,15:00:00,bright,1dark,66-58-55,1,0,2.18,0.148335617
O,11/02/2017,15:00:00,dark,2bright,60-56-54,1,0,2.19,0.061387824
G,11/08/2017,15:00:00,bright,1dark,55-55-55,1,0,2.19,0.098101105
G,11/03/2017,14:00:00,dark,1dark,40-40-40,1,0,2.19,0.125392552
N,11/07/2017,13:00:00,dark,1dark,36-36-36,1,0,2.19,0.162338153
O,11/09/2017,15:00:00,dark,2bright,48-48-48,1,0,2.19,0.197223484
G,30/10/2017,11:30:00,dark,1dark,30-30-30,1,0,2.19,0.227340804
J,11/09/2017,14:00:00,bright,1dark,85-75-75,1,0,2.19,0.36590405
D,11/01/2017,15:00:00,bright,2bright,plain,1,0,2.19,0.419240736
M,11/09/2017,15:00:00,bright,2bright,plain,1,0,2.19,0.419240736
T,11/09/2017,15:00:00,dark,1dark,45-45-45,1,0,2.22,0.07566594
N,13/11/2017,15:00:00,dark,1dark,30-30-30,1,0,2.22,0.227340804
