Stimulus A,Stumulus B,Mean chemotaxis index (A relative to B),Standard deviation (measured/estimated),Standard error,Number of days repeated,All measured Chemotaxis indexes
'DA-3','NaCl-1E-0',0.689163428,0.101683494,0.071901088,2,0.653185 0.725142 
'DA-3','NaCl-2E+1',0.065267371,0.216974487,0.153424131,2,0.215211 -0.084676 
'DA-3','NaCl-2E-1',0.84722157,0.059492274,0.026605754,5,0.777773 0.882867 0.794988 0.918825 0.861656 
'DA-3','NaCl-5E-0',0.450906755,0.109109687,0.044543843,6,0.536889 0.378993 0.260912 0.503445 0.528243 0.496959 
'DA-3','No',0.911752254,0.065327137,0.018118488,13,0.990826 0.983322 0.854272 0.854052 0.788514 0.972634 0.947058 0.911509 0.914888 0.973920 0.878770 0.831172 0.951841 
'DA-3','PD-2',-0.07258967,0.215621385,0.124489065,3,-0.228290 -0.018945 0.029466 
'DA-3','PD-3',0.500462384,0.136553935,0.078839451,3,0.584846 0.572461 0.344080 
'DA-3','PD-4',0.443556966,0.147069601,0.103993912,2,0.527409 0.359705 
'DA-3','PD-5',0.56464372,0.124693739,0.088171788,2,0.688889 0.440399 
'DA-3','Py-2',0.617613226,0.114905398,0.057452699,4,0.684379 0.764800 0.480560 0.540713 
'DA-3','Py-3',0.419039874,0.275490147,0.097400476,8,0.397420 0.810176 -0.068770 0.686657 0.447414 0.190179 0.527506 0.361738 
'DA-3','Py-4',0.690199447,0.101492046,0.05859646,3,0.688902 0.928340 0.453357 
'DA-3','Py-5',0.857657985,0.037551693,0.015330414,6,0.870306 0.864674 0.915570 0.862784 0.820867 0.811747 
'DA-3','TT-2',0.941692017,0.055018234,0.027509117,4,0.993902 0.969878 0.909710 0.893278 
'DA-3','TT-3',0.541179528,0.129029733,0.074495351,3,0.772963 0.619341 0.231235 
'DA-3','TT-4',0.45578903,0.044191717,0.019763137,5,0.402740 0.460922 0.503118 0.419131 0.493034 
'DA-3','TT-5',0.860717596,0.069981658,0.069981658,1,0.860718
'DA-4','DA-5',0.590679401,0.119882553,0.119882553,1,0.590679
'DA-4','IA-1',-0.061316461,0.217704583,0.217704583,1,-0.061316
'DA-4','IA-2',0.081728352,0.212492804,0.095029671,5,-0.137246 0.303420 -0.149738 0.239555 0.152650 
'DA-4','IA-3',0.229958306,0.20777238,0.092918633,5,0.255172 0.556714 -0.013175 0.186403 0.164678 
'DA-4','IA-4',0.441494759,0.14745068,0.08513069,3,0.333333 0.648436 0.342715 
'DA-4','NH4Ac-1E-0',0.884285714,0.065626459,0.065626459,1,0.884286
'DA-4','NH4Ac-2E+1',0.616121866,0.11518099,0.11518099,1,0.616122
'DA-4','NH4Ac-5E-0',0.788650187,0.083299138,0.083299138,1,0.78865
'DA-4','NaCl-1E-0',0.638815156,0.110987451,0.07847998,2,0.560698 0.716933 
'DA-4','NaCl-2E+1',0.115599958,0.207673428,0.146847289,2,0.205862 0.025337 
'DA-4','NaCl-2E-1',0.75752786,0.089050295,0.062968067,2,0.661146 0.853910 
'DA-4','NaCl-5E-0',0.300019484,0.173594177,0.12274962,2,0.229305 0.370734 
'DA-4','No',0.812554273,0.091201608,0.034470968,7,0.781649 0.803805 0.709709 0.932007 0.879933 0.694196 0.886581 
'DA-4','PD-2',-0.756345261,0.08926883,0.051539383,3,-2.269036
'DA-4','PD-3',-0.479421053,0.140442205,0.099307635,2,-0.958842
'DA-4','PD-4',0.152842241,0.200791353,0.141980927,2,0.053853 0.251832 
'DA-4','PD-5',0.448159291,0.146219128,0.103392537,2,0.485965 0.410354 
'DA-4','Py-2',0.456034056,0.144763934,0.10236356,2,0.386597 0.525471 
'DA-4','Py-3',0.365789903,0.161440331,0.114155553,2,0.241148 0.490432 
