Fish_ID,Date,Comp_Num,Comparison,Stimulus,Area_large,Area_small,Stimulus_Side,Time_with_Stim,Latency_to_Visit,Visits_to_Stim
PinkRed,26-Mar,2,120v100,100,1054,721,Right,41.2,1.6,1
PinkRed,24-Mar,2,120v100,120,1054,721,Right,144.7,16.3,9
PinkRed,24-Mar,2,120v100,100,1054,721,Left,15.8,1,1
Red,26-Mar,2,120v100,120,1054,721,Left,0,0,0
Red,26-Mar,2,120v100,100,1054,721,Right,138.6,0.3,4
Red,24-Mar,2,120v100,120,1054,721,Right,81.5,1,1
Red,24-Mar,2,120v100,100,1054,721,Left,0,0,0
RedBlue,26-Mar,2,120v100,120,1054,721,Left,72.8,32.9,2
RedBlue,26-Mar,2,120v100,100,1054,721,Right,48.2,59.7,1
RedBlue,24-Mar,2,120v100,120,1054,721,Right,35.7,0.3,8
RedBlue,24-Mar,2,120v100,100,1054,721,Left,43.3,107.2,1
RedGreen,23-Mar,2,120v100,120,1054,721,Left,21.6,86.6,4
RedGreen,23-Mar,2,120v100,100,1054,721,Right,130.7,0.6,14
RedGreen,25-Mar,2,120v100,120,1054,721,Right,31.4,54.7,7
RedGreen,25-Mar,2,120v100,100,1054,721,Left,58.8,68.6,7
RedGreenGreen,23-Mar,2,120v100,120,1054,721,Left,0,0,0
RedGreenGreen,23-Mar,2,120v100,100,1054,721,Right,0,0,0
RedGreenGreen,25-Mar,2,120v100,120,1054,721,Right,28.6,38.9,5
RedGreenGreen,25-Mar,2,120v100,100,1054,721,Left,81.6,70.8,6
RedOrange,23-Mar,2,120v100,120,1054,721,Left,29.1,137.2,6
RedOrange,23-Mar,2,120v100,100,1054,721,Right,57.7,6.9,11
RedOrange,25-Mar,2,120v100,120,1054,721,Right,1.1,175.4,1
RedOrange,25-Mar,2,120v100,100,1054,721,Left,86.1,77.6,1
RedRed,23-Mar,2,120v100,120,1054,721,Left,34.6,46.1,6
RedRed,23-Mar,2,120v100,100,1054,721,Right,65.7,50.8,5
RedRed,25-Mar,2,120v100,120,1054,721,Right,80.6,28,8
RedRed,25-Mar,2,120v100,100,1054,721,Left,20,19,11
RedRedRed,23-Mar,2,120v100,120,1054,721,Left,2.2,167.4,2
RedRedRed,23-Mar,2,120v100,100,1054,721,Right,74.2,79.7,9
RedRedRed,25-Mar,2,120v100,120,1054,721,Right,51.5,104.3,2
RedRedRed,25-Mar,2,120v100,100,1054,721,Left,46.2,62.5,4
Blue,30-Mar,4,120v110,120,1054,885,Left,80,15.3,5
Blue,30-Mar,4,120v110,110,1054,885,Right,5.7,81,4
Blue,1-Apr,4,120v110,120,1054,885,Right,19.1,14,1
Blue,1-Apr,4,120v110,110,1054,885,Left,75,41.7,7
BluePink,31-Mar,4,120v110,120,1054,885,Left,44.5,22.5,2
BluePink,31-Mar,4,120v110,110,1054,885,Right,0,0,0
BluePink,29-Mar,4,120v110,120,1054,885,Right,0,0,0
BluePink,29-Mar,4,120v110,110,1054,885,Left,28.4,68.7,1
Green,31-Mar,4,120v110,120,1054,885,Left,2.4,21.3,7
Green,31-Mar,4,120v110,110,1054,885,Right,142.6,26.1,5
Green,29-Mar,4,120v110,120,1054,885,Right,60.6,119.4,3
Green,29-Mar,4,120v110,110,1054,885,Left,106.5,4.5,2
GreenBlue,30-Mar,4,120v110,120,1054,885,Left,36.5,41.2,3
GreenBlue,30-Mar,4,120v110,110,1054,885,Right,80.4,26.3,4
GreenBlue,1-Apr,4,120v110,120,1054,885,Right,82.2,35.6,7
GreenBlue,1-Apr,4,120v110,110,1054,885,Left,16.3,57.8,3
GreenGreen,31-Mar,4,120v110,120,1054,885,Left,1,93.4,1
GreenGreen,31-Mar,4,120v110,110,1054,885,Right,7.2,93.5,1
GreenGreen,29-Mar,4,120v110,120,1054,885,Right,8.4,109.6,1
GreenGreen,29-Mar,4,120v110,110,1054,885,Left,0,0,0
GreenOrange,31-Mar,4,120v110,120,1054,885,Left,0,0,0
GreenOrange,31-Mar,4,120v110,110,1054,885,Right,92.8,75.1,2
GreenOrange,29-Mar,4,120v110,120,1054,885,Right,137.2,6.7,3
GreenOrange,29-Mar,4,120v110,110,1054,885,Left,0,0,0
GreenRed,31-Mar,4,120v110,120,1054,885,Left,32,16.3,6
GreenRed,31-Mar,4,120v110,110,1054,885,Right,45.5,0.3,5
GreenRed,29-Mar,4,120v110,120,1054,885,Right,56.9,7.6,3
GreenRed,29-Mar,4,120v110,110,1054,885,Left,45.8,24.3,4
Orange,31-Mar,4,120v110,120,1054,885,Left,0,0,0
Orange,31-Mar,4,120v110,110,1054,885,Right,0,0,0
Orange,29-Mar,4,120v110,120,1054,885,Right,0,0,0
Orange,29-Mar,4,120v110,110,1054,885,Left,0,0,0
OrangeBlue,31-Mar,4,120v110,120,1054,885,Left,0,0,0
OrangeBlue,31-Mar,4,120v110,110,1054,885,Right,0,0,0
OrangeBlue,29-Mar,4,120v110,120,1054,885,Right,10.6,1,1
OrangeBlue,29-Mar,4,120v110,110,1054,885,Left,0,0,0
OrangeOrange,31-Mar,4,120v110,120,1054,885,Left,77.7,69.3,3
OrangeOrange,31-Mar,4,120v110,110,1054,885,Right,38.3,25.6,3
OrangeOrange,29-Mar,4,120v110,120,1054,885,Right,50.9,46.2,4
OrangeOrange,29-Mar,4,120v110,110,1054,885,Left,71,24.3,5
OrangePink,30-Mar,4,120v110,120,1054,885,Left,0,0,0
OrangePink,30-Mar,4,120v110,110,1054,885,Right,0,0,0
OrangePink,1-Apr,4,120v110,120,1054,885,Right,0,0,0
OrangePink,1-Apr,4,120v110,110,1054,885,Left,0,0,0
OrangeRed,30-Mar,4,120v110,120,1054,885,Left,0,0,0
OrangeRed,30-Mar,4,120v110,110,1054,885,Right,179,1,1
OrangeRed,1-Apr,4,120v110,120,1054,885,Right,119.2,60.8,2
OrangeRed,1-Apr,4,120v110,110,1054,885,Left,0,0,0
Pink,30-Mar,4,120v110,120,1054,885,Left,61.2,61.2,1
Pink,30-Mar,4,120v110,110,1054,885,Right,0,0,0
Pink,1-Apr,4,120v110,120,1054,885,Right,0,0,0
Pink,1-Apr,4,120v110,110,1054,885,Left,63.4,116.6,2
PinkBlue,30-Mar,4,120v110,120,1054,885,Left,106.1,28.3,5
PinkBlue,30-Mar,4,120v110,110,1054,885,Right,3.3,71.9,2
PinkBlue,1-Apr,4,120v110,120,1054,885,Right,46.4,43,2
PinkBlue,1-Apr,4,120v110,110,1054,885,Left,66.7,30.2,4
PinkOrange,30-Mar,4,120v110,120,1054,885,Left,75.8,8.7,4
PinkOrange,30-Mar,4,120v110,110,1054,885,Right,59.5,24.1,8
PinkOrange,23-Apr,4,120v110,120,1054,885,Right,0,0,0
PinkOrange,23-Apr,4,120v110,110,1054,885,Left,0,0,0
PinkPink,31-Mar,4,120v110,120,1054,885,Left,110.5,12.1,7
PinkPink,31-Mar,4,120v110,110,1054,885,Right,0,0,0
PinkPink,29-Mar,4,120v110,120,1054,885,Right,2.4,90.6,1
PinkPink,29-Mar,4,120v110,110,1054,885,Left,60.8,12,8
PinkRed,30-Mar,4,120v110,120,1054,885,Left,17.9,106,3
PinkRed,30-Mar,4,120v110,110,1054,885,Right,41.5,121.5,2
PinkRed,1-Apr,4,120v110,120,1054,885,Right,14,113.9,2
PinkRed,1-Apr,4,120v110,110,1054,885,Left,19.8,90.4,3
Red,23-Apr,4,120v110,120,1054,885,Left,22.3,157.8,1
Red,23-Apr,4,120v110,110,1054,885,Right,90.4,13.4,2
Red,1-Apr,4,120v110,120,1054,885,Right,98.1,1,1
Red,1-Apr,4,120v110,110,1054,885,Left,70,106.3,1
RedBlue,30-Mar,4,120v110,120,1054,885,Left,9.6,39.1,1
RedBlue,30-Mar,4,120v110,110,1054,885,Right,92.2,52.6,8
RedBlue,1-Apr,4,120v110,120,1054,885,Right,44.4,23.1,4
RedBlue,1-Apr,4,120v110,110,1054,885,Left,43.2,93.8,3
RedGreen,31-Mar,4,120v110,120,1054,885,Left,7.1,173,1
RedGreen,31-Mar,4,120v110,110,1054,885,Right,59.4,4.5,5
RedGreen,29-Mar,4,120v110,120,1054,885,Right,77.2,54.4,3
RedGreen,29-Mar,4,120v110,110,1054,885,Left,19.1,67.6,2
RedGreenGreen,31-Mar,4,120v110,120,1054,885,Left,0,0,0
RedGreenGreen,31-Mar,4,120v110,110,1054,885,Right,0,0,0
RedGreenGreen,29-Mar,4,120v110,120,1054,885,Right,0,0,0
RedGreenGreen,29-Mar,4,120v110,110,1054,885,Left,0,0,0
RedOrange,31-Mar,4,120v110,120,1054,885,Left,26.4,153.6,1
RedOrange,31-Mar,4,120v110,110,1054,885,Right,0,0,0
