group,u,s,m,l
real,0.052193758,0.267790817,0.330142879,0.349872545
real,0.044556062,0.243935055,0.337781576,0.373727307
real,0.046831263,0.263678501,0.333265489,0.356224747
real,0.037208383,0.227577401,0.340867574,0.394346643
real,0.044957655,0.27169681,0.337019119,0.346326416
real,0.038144215,0.228794957,0.33074639,0.402314439
real,0.047810581,0.25423328,0.329591423,0.368364717
real,0.032221954,0.209346981,0.329222272,0.429208793
real,0.030924878,0.214799512,0.334721951,0.419553659
real,0.033975372,0.215840366,0.331219654,0.418964607
real,0.032996335,0.215229169,0.332196323,0.419578172
real,0.036762917,0.233016385,0.334247945,0.395972753
real,0.039789483,0.225474268,0.344246911,0.390489338
real,0.040628791,0.279672353,0.337993288,0.341705568
real,0.046849298,0.228293653,0.337069256,0.387787793
real,0.043932546,0.243551626,0.340165291,0.372350537
real,0.051850196,0.224632875,0.321911445,0.401605484
real,0.055394676,0.263344975,0.329182935,0.352077414
real,0.055763283,0.272076286,0.330341215,0.341819216
real,0.039742079,0.248906774,0.339039657,0.372311491
real,0.052034679,0.230837569,0.320262581,0.396865171
real,0.047648141,0.239914242,0.334672356,0.377765261
real,0.046985807,0.257207189,0.333069887,0.362737117
real,0.05274937,0.246320473,0.32791469,0.373015466
real,0.047016061,0.259379704,0.333402629,0.360201605
real,0.049143866,0.262424112,0.331961617,0.356470404
real,0.04526696,0.26732679,0.33859312,0.34881313
real,0.042143846,0.223311052,0.333721182,0.40082392
real,0.033971089,0.246418573,0.3396918,0.379918538
real,0.04565203,0.231744549,0.328627402,0.393976018
real,0.053767075,0.215522954,0.295052506,0.435657465
real,0.034580827,0.251647986,0.338662558,0.375108629
real,0.053956495,0.26757355,0.328330125,0.350139831
real,0.051200594,0.262822909,0.332538123,0.353438374
real,0.054765092,0.26473004,0.330136332,0.350368536
real,0.027262269,0.343403858,0.338524449,0.290809424
real,0.031795367,0.281284515,0.349803535,0.337116584
real,0.030301598,0.25257714,0.339984103,0.377137159
real,0.03874223,0.201158393,0.325469857,0.43462952
real,0.040128092,0.218814924,0.338744771,0.402312213
real,0.046225447,0.233737814,0.334198595,0.385838144
real,0.057488087,0.270985996,0.327222122,0.344303795
real,0.058452995,0.27338866,0.325782977,0.342375368
real,0.033394513,0.235820599,0.345910091,0.384874796
real,0.033899006,0.23535269,0.343841911,0.386906393
real,0.026623922,0.191558927,0.357185748,0.424631403
real,0.042666545,0.268571759,0.33709448,0.351667217
real,0.0429125,0.268934908,0.336461791,0.351690801
real,0.039704096,0.221185823,0.328222402,0.41088768
real,0.05478301,0.262483216,0.328477525,0.354256249
real,0.032253254,0.18524733,0.331602922,0.450896494
real,0.038068796,0.221418342,0.33960741,0.400905452
real,0.027341138,0.146396339,0.321968283,0.50429424
real,0.045084872,0.252616281,0.335826629,0.366472217
real,0.031527521,0.240400029,0.346892937,0.381179513
real,0.038919128,0.255891979,0.340256457,0.364932436
real,0.037035221,0.253083843,0.34136978,0.368511156
real,0.041666025,0.218666003,0.33071827,0.408949702
real,0.040441432,0.249056734,0.338494134,0.3720077
real,0.047210971,0.256912842,0.335561256,0.36031493
real,0.048018794,0.239843737,0.334200513,0.377936956
real,0.051799956,0.264187282,0.33166009,0.352352673
real,0.043840869,0.22899146,0.338447062,0.388720609
real,0.035600446,0.205945984,0.337440319,0.421013252
real,0.035937259,0.213009543,0.33443662,0.416616578
real,0.023547105,0.151844865,0.325277529,0.4993305
real,0.023393281,0.164810423,0.33367164,0.478124656
real,0.018766136,0.159776404,0.337611051,0.483846409
real,0.022290915,0.161344517,0.334918557,0.481446012
real,0.023910516,0.173282212,0.338821698,0.463985575
real,0.041655998,0.261912721,0.335345012,0.361086269
real,0.053661139,0.261702436,0.329182969,0.355453456
real,0.050911895,0.266901337,0.331332215,0.350854553
real,0.049935469,0.26493913,0.330817435,0.354307967
real,0.037475756,0.256957133,0.340287945,0.365279166
real,0.03713579,0.277324758,0.346595383,0.338944069
real,0.04018226,0.262950607,0.337586922,0.359280211
real,0.028699104,0.196185835,0.340523873,0.434591189
real,0.047080653,0.273135412,0.332551345,0.34723259
real,0.03944261,0.243367281,0.338479826,0.378710283
real,0.050462881,0.268136521,0.333558202,0.347842396
real,0.039871577,0.259616872,0.341649335,0.358862217
