Animal,D (%w/w),High,Low,nmrIntensity1.4,nmrIntensity2,rIntensity,Response,N,,,,,,,,,,,,,,,,,,,,,,,,
Bat54,5,50,45,0,0,0.105263158,0.490566,53,,,,,,,,,,,,,,,,,,,,,,,,
Bat54,5,40,35,0,0,0.133333333,0.744186,43,,,,,,,,,,,,,,,,,,,,,,,,
Bat54,5,30,25,0,0,0.181818182,0.5,166,,,,,,,,,,,,,,,,,,,,,,,,
Bat54,5,25,20,0,0,0.222222222,0.5202312,173,,,,,,,,,,,,,,,,,,,,,,,,
Bat54,5,20,15,0,0,0.285714286,0.4186047,172,,,,,,,,,,,,,,,,,,,,,,,,
Bat54,5,15,10,0,0,0.4,0.8244275,131,,,,,,,,,,,,,,,,,,,,,,,,
Bat58,15,50,35,0,0,0.352941176,0.8135593,177,,,,,,,,,,,,,,,,,,,,,,,,
Bat58,15,45,30,0,0,0.4,0.472973,148,,,,,,,,,,,,,,,,,,,,,,,,
Bat58,15,40,25,0,0,0.461538462,0.5045872,218,,,,,,,,,,,,,,,,,,,,,,,,
Bat58,15,35,20,0,0,0.545454545,1,124,,,,,,,,,,,,,,,,,,,,,,,,
Bat58,15,30,15,0,0,0.666666667,0.9911111,225,,,,,,,,,,,,,,,,,,,,,,,,
Bat58,15,25,10,0,0,0.857142857,0.9896907,97,,,,,,,,,,,,,,,,,,,,,,,,
Bat58,15,20,5,0,0,1.2,0.9966216,296,,,,,,,,,,,,,,,,,,,,,,,,
Bat7,15,50,35,0,0,0.352941176,0.6413793,145,,,,,,,,,,,,,,,,,,,,,,,,
Bat7,15,45,30,0,0,0.4,0.4110429,163,,,,,,,,,,,,,,,,,,,,,,,,
Bat7,15,40,25,0,0,0.461538462,0.5299539,217,,,,,,,,,,,,,,,,,,,,,,,,
Bat7,15,35,20,0,0,0.545454545,0.6888889,225,,,,,,,,,,,,,,,,,,,,,,,,
