ID,Leading_spkr,Leading,Lagging,AbsDiff,PercDiff,Choice,Response,Trial_order
Hch-319-19,2,30,36,6,20,Lag,Y,3
Hch-320-19,2,30,36,6,20,Lag,Y,8
Hch-348-19,2,30,36,6,20,Lead,Y,13
Hch-349-19,2,30,36,6,20,Lead,Y,1
Hch-350-19,2,30,36,6,20,Lead,Y,13
Hch-351-19,2,30,36,6,20,Lag,Y,1
Hch-352-19,2,30,36,6,20,Lag,Y,13
Hch-353-19,2,30,36,6,20,Lead,Y,10
Hch-360-19,2,30,36,6,20,Lead,Y,13
Hch-364-19,2,30,36,6,20,Lead,Y,11
Hch-365-19,2,30,36,6,20,Lead,Y,2
Hch-085-19,1,30,45,15,50,Lag,Y,6
Hch-094-19,1,30,45,15,50,Lag,Y,3
Hch-096-19,1,30,45,15,50,Lag,Y,11
Hch-097-19,1,30,45,15,50,Lag,Y,4
Hch-098-19,1,30,45,15,50,Lag,Y,1
Hch-099-19,1,30,45,15,50,Lag,Y,15
Hch-100-19,1,30,45,15,50,Lead,Y,12
Hch-102-19,1,30,45,15,50,Lead,Y,7
Hch-103-19,1,30,45,15,50,Lag,Y,5
Hch-127-19,2,30,45,15,50,Lag,Y,11
Hch-128-19,2,30,45,15,50,Lag,Y,13
Hch-129-19,2,30,45,15,50,Lag,Y,4
Hch-130-19,2,30,45,15,50,Lead,Y,11
Hch-131-19,2,30,45,15,50,Lag,Y,4
Hch-132-19,2,30,45,15,50,Lag,Y,6
Hch-134-19,2,30,45,15,50,Lead,Y,2
Hch-135-19,2,30,45,15,50,Lag,Y,2
Hch-149-19,1,30,45,15,50,Lag,Y,14
Hch-150-19,1,30,45,15,50,Lag,Y,3
