"date","ref_roughness","delta_roughness","IR_ID_1","IR_ID_2","ref_target","choice_target","time_delay","bat_no"
7.320796406089,1.8,0.6,329,486,2,2,4.437,1
7.32079641023218,1.8,0.4,340,439,1,2,5.328,1
7.32079641249456,1.8,0.1,349,375,2,2,4.218,1
7.32079641443495,1.8,1.3,340,655,2,2,5.703,1
7.32081558166586,1.8,1,342,580,1,1,2.687,1
7.3208155828522,1.8,0.3,344,423,2,1,2.78100000000001,1
7.32081558449792,1.8,0.7,342,505,2,2,2.469,1
7.32081558613634,1.8,0.2,326,398,2,2,2.25,1
7.32081558828125,1.8,0.9,335,555,1,1,2.015,1
7.32081559029942,1.8,0.5,328,454,2,2,3.344,1
7.32081559263414,1.8,1,338,600,1,1,2.968,1
7.32081559437928,1.8,0.5,327,466,1,2,3.5,1
7.32081559568681,1.8,0.2,335,400,2,2,3,1
7.32081559883345,1.8,0.7,346,507,1,1,10.609,1
7.32081560101088,1.8,0.4,334,442,2,2,3.391,1
7.32081560383206,1.8,0.1,342,373,1,2,6.65600000000001,1
7.32081560585752,1.8,0.6,345,490,1,1,3.469,1
7.32081560887396,1.8,0.9,343,575,2,2,12.438,1
7.32081561044734,1.8,0.3,343,419,1,2,3.484,1
7.32081561291042,1.8,0.8,336,532,2,2,5.297,1
7.32081561704815,1.8,0.5,342,455,2,1,6.437,1
7.32081561936296,1.8,0.9,334,568,2,2,3.265,1
7.32081562284433,1.8,0.7,344,514,1,1,2.109,1
7.32081562675775,1.8,1,340,577,2,2,3.906,1
7.3208156303331,1.8,0.3,340,418,1,2,3,1
7.32081563252315,1.8,0.1,349,354,1,1,2.547,1
7.32081563535151,1.8,0.6,342,500,2,2,3.094,1
7.32081563741852,1.8,0.2,327,383,1,1,5.969,1
7.32081564025787,1.8,0.4,341,450,1,1,4.718,1
7.32081564315313,1.8,0.8,349,531,2,1,11.218,1
7.32081564448785,1.8,0.4,345,441,1,2,6.11,1
7.32081564981366,1.8,0.7,345,509,2,1,6.859,1
7.32081565179572,1.8,0.1,341,354,2,2,3.703,1
7.32081565636574,1.8,1,348,589,1,1,7.859,1
7.32081565889931,1.8,0.5,347,459,2,1,3.234,1
7.32081566110382,1.8,0.3,326,412,1,2,5.031,1
7.3208156638581,1.8,0.6,348,487,1,1,8.969,1
7.32081566712234,1.8,0.2,342,392,2,1,7.25,1
7.32081566985312,1.8,0.8,350,537,2,2,4.704,1
7.32081567798391,1.8,0.9,343,551,2,1,5.938,1
7.32081568004919,1.8,0.6,329,482,1,1,4.53100000000001,1
7.32081568390833,1.8,0.3,347,415,2,2,5.047,1
7.32081568779468,1.8,0.8,343,550,1,1,11.14,1
7.32081569313866,1.8,1,347,591,2,2,28.343,1
7.32081569626192,1.8,0.5,341,462,1,1,7.484,1
7.32081570013739,1.8,0.1,328,362,2,1,9.937,1
7.32081570866609,1.8,0.7,326,523,2,2,8,1
7.32081571388519,1.8,0.2,342,377,1,2,8.453,1
7.32081571737731,1.8,0.9,333,572,1,1,5.656,1
7.32081572705613,1.8,0.4,331,428,1,2,38.875,1
7.32084497903461,1.8,1,347,597,1,1,5.422,1
7.32084498057905,1.8,0.5,343,471,2,1,2.032,1
7.320844982514,1.8,0.2,328,398,1,2,2.89,1
7.32084498453414,1.8,0.7,331,522,2,2,5.343,1
7.32084498619248,1.8,0.9,334,555,2,2,3.281,1
7.32084498801898,1.8,0.3,332,415,1,1,2.266,1
7.32084499042604,1.8,0.8,327,541,1,1,3.391,1
