Species,HostClutchID,ExpClutchID,Date,Time,ClutchSize,StillLaying,EmbryoScore,Result,MaxTime,Host_UV,Host_SW,Host_MW,Host_LW,Host_D,Exp_UV,Exp_SW,Exp_MW,Exp_LW,Exp_D,JND_Colour,JND_Luminance,Host_MeanLength,Host_MeanBreadth,Exp_Length,Exp_Breadth,Host_Dispersion,Host_StdDispersion,Host_PropPower,Host_FilterSize,Host_PatternProp,Host_PCPower,Exp_Dispersion,Exp_StdDispersion,Exp_PropPower,Exp_FilterSize,Exp_PatternProp,Exp_PCPower,ReplacedEgg,IntraClutch,InterClutch,ExpHost,ExpHost_all,DiffNum,DiffNum_all,ParaDist,Exp_FS,Exp_FSD,Host1_FS,Host1_FSD,Host2_FS,Host2_FSD,Host3_FS,Host3_FSD,Host_FS,Host_FSD,ExpComplexity,Complexity_egg1,Complexity_egg2,Complexity_egg3,AvHostComplexity
Prinia subflava,2008_PS068,2008_PS039 ,31/01/2008,11,3,No,1,0,5,0.62582,0.78858,0.9083,0.96866,0.92406,0.68686,0.92082,1.02242,1.0419,1.02442,1.0939,2.0621,16.05,11.56,15.3,11.32,0.56945,1.47441875,0.379533335,3,0.48848333,0.461927295,-0.3291,-1.4086175,0.40713333,2.66666667,0.23363333,2.43688652,3,0.938786667,0.942159054,0.90491,0.925283333,-39,-130,0.945153333,6.795053959,5.428579807,6.272131875,5.307265302,7.063861437,6.395019131,,,6.667996656,5.851142217,3222.730513,4145.014912,3446.89683,,3795.955871
Prinia subflava,2008_PS073,2008_PS061 ,31/01/2008,14,3,No,NaN,1,3,0.20082,0.3474,0.53272,0.6127,0.55246,0.3278,0.55832,0.64426,0.6357,0.63726,6.5104,2.8559,16,11.56,15.3,11.15,0.24525,1.395296155,0.318783335,2.66666667,0.18438333,-0.952009,0.0215,0.05097605,0.35016667,3.33333333,0.42176667,-0.8536776,3,0.91562,0.948903333,0.960955,0.964733333,-278.5,-294,0.955183333,5.814785532,4.096885423,6.499320029,4.566466981,5.659798709,4.282089743,,,6.079559369,4.424278362,4157.014225,2393.981111,3432.454847,,2913.217979
Prinia subflava,2008_PS095,2008_PS070 ,03/02/2008,14,3,No,1,0,8,0.29554,0.35794,0.56584,0.7604,0.626,0.36592,0.45464,0.6386,0.76058,0.6732,3.3277,1.4538,15.75,11.47,15.2,11.53,0.07635,1.380474605,0.281183335,3.166666665,0.055316665,-1.22428525,0.0317,3,0.29806667,2.66666667,0.01056667,-1.3885905,3,0.870156667,0.948914594,0.9436,0.952783333,62,70.33333333,0.968506667,5.370604438,8.535260249,6.0214054,4.521291229,6.830978247,6.628974729,,,6.426191824,5.575132979,1641.731516,3293.848849,3546.647423,,3420.248136
Prinia subflava,2008_PS102,2008_PS058 ,04/02/2008,9,3,No,2,0,8,0.43468,0.57836,0.79516,0.92472,0.83118,0.41234,0.5146,0.71974,0.8787,0.76716,0.989,1.603,15.94,10.99,15.28,11.2,-0.08865,-0.211142835,0.3751,2.66666667,0.40176667,-0.63791675,-0.429,-1.1753425,0.41876667,2,0.365,0.24838562,3,0.896706667,0.945533546,0.91089,0.91914,-62.5,-86.33333333,0.938713333,8.204826885,6.567820504,9.416933504,7.526860371,7.990584246,7.379215656,,,8.703758875,7.453038014,2921.535263,2720.863361,2397.426946,,2559.145154
Prinia subflava,2008_PS109,2008_PS095 ,05/02/2008,17,2,No,2,1,1,0.37418,0.67078,0.88098,0.86864,0.86556,0.29554,0.35794,0.56584,0.7604,0.626,6.7849,6.4805,15.06,11,15.73,11.58,-0.0004,-0.003988,0.355,2.66666667,0.1003,-0.5749592,0.0558,0.48423489,0.33326667,2.66666667,0.11523333,-1.1002111,2,NaN,0.944171773,0.90476,0.90476,19,19,0.92958,8.152376635,10.65466078,5.721852237,4.255958993,,,,,5.721852237,4.255958993,3616.153126,2399.526833,,,2399.526833
Prinia subflava,2008_PS111,2008_PS093 ,06/02/2008,15,2,No,3,1,1,0.2139,0.2795,0.47394,0.73172,0.557,0.856,0.97794,1.02484,1.03784,1.02764,13.7941,12.2491,15.41,11.16,16.55,11.18,0.0791,0.71282667,0.3382,3.33333333,0.11096667,-0.8958151,-0.1536,-1.7009967,0.3501,3.33333333,0.0903,0.60584625,2,0.85787,0.940278911,0.97458,0.97034,-427,-408,0.89689,5.600716542,3.899001872,5.898617921,4.023610508,,,,,5.898617921,4.023610508,3544.427183,3509.464096,,,3509.464096
Prinia subflava,2008_PS113,2008_PS089 ,06/02/2008,13,3,No,3,0,4,0.38626,0.4796,0.68536,0.84712,0.73358,0.28322,0.45574,0.67582,0.77344,0.7006,3.14,0.92,14.99,10.89,15.05,11.42,0.04375,0.406162705,0.33956667,2.5,0.1062,-0.9690289,-0.2597,-2.017871,0.3856,2,0.1287,-1.0444103,3,0.922726667,0.948422022,0.9183,0.912853333,-44.5,-51.66666667,0.925216667,7.584982081,6.153388843,8.367626797,7.047285479,5.263002365,3.331777862,,,6.815314581,5.189531671,3401.229238,2235.878067,2131.666861,,2183.772464
Prinia subflava,2008_PS116,2008_PS053 ,06/02/2008,12,3,Yes,0,1,2,0.80212,0.99932,1.0488,1.02058,1.03658,0.29988,0.82484,0.90872,0.71366,0.83406,9.1042,4.3475,14.56,11.5,15.15,10.79,0.1167,0.1986383,0.36523333,4,0.5875,0.05631727,0.5221,0.9295549,0.363,2,0.56166667,0.32736016,2,0.929433333,0.940566474,0.94606,0.91335,348,149,0.971513333,6.88241275,5.562877527,6.042548133,4.334537204,,,,,6.042548133,4.334537204,3145.381954,4344.958225,,,4344.958225
Prinia subflava,2008_PS141,2008_PS116 ,14/02/2008,13,3,No,2,0,5,0.42522,0.93374,1.00586,0.87422,0.95472,0.6634,0.86634,0.94704,0.95892,0.94756,5.7502,0.1506,15.83,11.88,15.05,11.37,0.297,0.81705253,0.342983335,3,0.33091667,0.207290795,0.019,0.04717762,0.34036667,4,0.40273333,-0.3974325,3,0.92517,0.944094388,0.92865,0.923496667,103.5,124.3333333,0.968276667,6.437588914,5.300917797,5.584450263,4.171093722,6.266791839,6.091895163,,,5.925621051,5.131494443,3984.85187,4286.492704,3269.248145,,3777.870425
Prinia subflava,2008_PS142,2008_PS121 ,13/02/2008,10,3,No,1,0,6,0.81492,0.97664,1.02786,1.01302,1.02022,0.79534,0.93608,1.00612,1.00096,1.00092,0.396,0.382,15.37,11.25,15.5,10.96,0.13015,0.34211608,0.44491667,2.166666665,0.35053333,2.039208465,0.0935,0.28182458,0.307,2.66666667,0.33176667,-0.5530564,3,0.914006667,0.938033671,0.910565,0.908093333,54.5,60.66666667,0.969266667,7.793973898,6.363946721,8.628384735,7.622010569,7.354842979,6.306112983,,,7.991613857,6.964061776,2745.583345,2968.657067,3209.959154,,3089.308111
