Year_Nest_Egg_NestIn,Year,Nest,Egg,NestIn,COMPLEXITY_a,COMPLEXITY_b,COMPLEXITY_c,COMPLEXITY_d,COMPLEXITY_ac,COMPLEXITY_bd,Species
2019_PS016_P1_PS016,2019,PS016,P1,PS016,2918.652071,4690.08083,5093.645365,4371.855811,4006.148718,4530.968321,P
2019_PS016_P2_PS016,2019,PS016,P2,PS016,2397.759188,3205.049701,2959.133917,3366.877348,2678.446553,3285.963525,P
2019_PS016_P3_PS016,2019,PS016,P3,PS016,3199.185289,5350.041515,3842.004528,4386.716126,3520.594909,4868.378821,P
2019_PS003_P3_PS016,2019,PS003,P3,PS016,2150.504263,2901.948915,2901.629846,2702.188475,2526.067055,2802.068695,P
2019_PS020_P1_PS020,2019,PS020,P1,PS020,4359.586666,3934.019771,3553.674574,4465.321476,3956.63062,4199.670624,P
2019_PS020_P2_PS020,2019,PS020,P2,PS020,4818.203304,4342.746026,4406.896335,3863.42429,4612.54982,4103.085158,P
2019_PS020_P3_PS020,2019,PS020,P3,PS020,3715.992515,3765.207154,3897.013247,3242.986784,3806.502881,3504.096969,P
2019_PS018_P1_PS020,2019,PS018,P1,PS020,2300.675901,2430.771997,2273.89458,2846.949754,2287.285241,2638.860876,P
2019_PS022_P1_PS022,2019,PS022,P1,PS022,2235.64643,1855.91929,2248.838628,1746.245859,2242.242529,1801.082575,P
2019_PS022_P2_PS022,2019,PS022,P2,PS022,2266.900521,1863.837028,2242.644599,1919.113993,2254.77256,1891.475511,P
2019_PS022_P3_PS022,2019,PS022,P3,PS022,1854.234257,1969.12515,3096.022221,1622.240618,2475.128239,1795.682884,P
2019_PS022_P4_PS022,2019,PS022,P4,PS022,1852.995099,1776.636696,1771.312898,1149.325307,1812.153999,1462.981002,P
2019_PS023_P3_PS022,2019,PS023,P3,PS022,1616.838386,1860.607553,3345.596178,1642.145835,2481.217282,1751.376694,P
2019_PS023_P1_PS023,2019,PS023,P1,PS023,1754.599786,1337.348474,1751.986819,1627.320199,1753.293303,1482.334337,P
2019_PS023_P2_PS023,2019,PS023,P2,PS023,2425.481487,1565.123131,1705.631976,2031.378836,2065.556732,1798.250984,P
2019_PS023_P3_PS023,2019,PS023,P3,PS023,1802.412101,1555.335389,1587.17324,1446.575355,1694.792671,1500.955372,P
2019_PS027_P3_PS023,2019,PS027,P3,PS023,1908.183339,1566.92644,1612.580333,1271.033098,1760.381836,1418.979769,P
2019_PS026_P1_PS026,2019,PS026,P1,PS026,3104.026857,2544.298599,3032.746635,3340.659407,3068.386746,2942.479003,P
2019_PS026_P2_PS026,2019,PS026,P2,PS026,2801.348353,2181.418751,2706.096604,2931.330557,2753.722479,2556.374654,P
2019_PS026_P3_PS026,2019,PS026,P3,PS026,3395.107797,2518.983593,3229.446287,3429.00514,3312.277042,2973.994367,P
2019_PS026_P4_PS026,2019,PS026,P4,PS026,3549.578053,2977.885468,3461.368323,3880.673638,3505.473188,3429.279553,P
2019_PS020_P3_PS026,2019,PS020,P3,PS026,3132.260969,2838.259928,3663.095514,3446.062261,3397.678242,3142.161095,P
2019_PS028_P1_PS028,2019,PS028,P1,PS028,2357.543952,2115.214488,2019.675943,2443.558899,2188.609948,2279.386694,P
2019_PS028_P2_PS028,2019,PS028,P2,PS028,2417.866634,2212.65996,2163.489418,2185.131729,2290.678026,2198.895845,P
2019_PS028_P3_PS028,2019,PS028,P3,PS028,1862.169647,1655.042289,1615.513865,2311.477503,1738.841756,1983.259896,P
2019_PS026_P4_PS028,2019,PS026,P4,PS028,3736.791011,3963.985337,3023.10451,3451.758516,3379.947761,3707.871927,P
2019_PS041_P1_PS041,2019,PS041,P1,PS041,1435.28125,1417.013234,1588.860559,1331.030544,1512.070905,1374.021889,P
2019_PS041_P2_PS041,2019,PS041,P2,PS041,1502.494583,1048.211034,1149.916131,1428.66308,1326.205357,1238.437057,P
2019_PS041_P3_PS041,2019,PS041,P3,PS041,1437.724927,1810.156988,808.0006033,955.7334591,1122.862765,1382.945224,P
2019_PS006_P1_PS041,2019,PS006,P1,PS041,1443.912947,1166.14601,1173.571655,1293.783343,1308.742301,1229.964677,P
2019_PS047_P1_PS047,2019,PS047,P1,PS047,3751.099435,3189.511058,4073.573903,2541.525645,3912.336669,2865.518352,P
2019_PS047_P2_PS047,2019,PS047,P2,PS047,3226.7911,2454.351654,3729.891228,2343.661353,3478.341164,2399.006504,P
2019_PS047_P3_PS047,2019,PS047,P3,PS047,3180.396883,2789.558655,3605.762925,2389.51352,3393.079904,2589.536088,P
2019_PS047_P4_PS047,2019,PS047,P4,PS047,3583.612622,3156.584104,4204.276896,2665.543582,3893.944759,2911.063843,P
2019_PS038_P1_PS047,2019,PS038,P1,PS047,2833.236398,3356.2105,3557.144247,2211.074715,3195.190323,2783.642608,P
2019_PS049_P1_PS049,2019,PS049,P1,PS049,2961.042001,2899.363205,3037.931804,2912.148359,2999.486903,2905.755782,P
2019_PS049_P2_PS049,2019,PS049,P2,PS049,2852.81002,3367.744321,2931.178452,2944.855269,2891.994236,3156.299795,P
2019_PS049_P3_PS049,2019,PS049,P3,PS049,2910.107685,2820.682768,2779.488299,3203.649353,2844.797992,3012.166061,P
2019_PS049_P4_PS049,2019,PS049,P4,PS049,4567.971883,4324.832237,3731.945692,3607.832461,4149.958788,3966.332349,P
2019_PS028_P3_PS049,2019,PS028,P3,PS049,2305.721838,1834.619651,1649.52376,1858.956689,1977.622799,1846.78817,P
2019_PS051_P1_PS051,2019,PS051,P1,PS051,4534.163947,3598.897524,3117.407559,3442.734436,3825.785753,3520.81598,P
2019_PS051_P2_PS051,2019,PS051,P2,PS051,3375.678389,2859.797944,2477.749432,2971.175414,2926.713911,2915.486679,P
2019_PS051_P3_PS051,2019,PS051,P3,PS051,4154.919506,3635.025207,2881.750302,3355.341487,3518.334904,3495.183347,P
2019_PS049_P4_PS051,2019,PS049,P4,PS051,3957.748512,4367.817,2980.782794,3510.125255,3469.265653,3938.971128,P
2019_PS057_P1_PS057,2019,PS057,P1,PS057,2665.862681,3045.219795,3515.492494,2830.503986,3090.677588,2937.861891,P
2019_PS057_P2_PS057,2019,PS057,P2,PS057,2157.992924,2467.739886,2932.505342,2641.212411,2545.249133,2554.476149,P
2019_PS057_P3_PS057,2019,PS057,P3,PS057,2336.38865,2785.497056,3095.759471,2840.907576,2716.074061,2813.202316,P
2019_PS051_P3_PS057,2019,PS051,P3,PS057,3510.533649,3709.091134,4043.483886,3857.946221,3777.008768,3783.518678,P
2019_PS060_P1_PS060,2019,PS060,P1,PS060,2029.066205,1916.067181,2348.100126,1877.697892,2188.583166,1896.882537,P
2019_PS060_P2_PS060,2019,PS060,P2,PS060,2730.792492,2469.180525,2259.206602,2290.886525,2494.999547,2380.033525,P
2019_PS060_P3_PS060,2019,PS060,P3,PS060,2030.260592,2047.458401,2233.025799,1877.346115,2131.643196,1962.402258,P
2019_PS022_P4_PS060,2019,PS022,P4,PS060,2021.841047,1331.6443,1334.17737,1659.408989,1678.009209,1495.526645,P
2019_PS064_P1_PS064,2019,PS064,P1,PS064,1765.340034,1785.185883,2107.072572,1762.538705,1936.206303,1773.862294,P
2019_PS064_P2_PS064,2019,PS064,P2,PS064,2014.259781,2021.938367,1835.556196,1757.027627,1924.907989,1889.482997,P
2019_PS064_P3_PS064,2019,PS064,P3,PS064,2290.471433,1845.231868,2074.03383,2106.362565,2182.252632,1975.797217,P
2019_PS034_P4_PS064,2019,PS034,P4,PS064,1763.087768,2060.31758,1649.224353,1741.775814,1706.156061,1901.046697,P
2019_PS066_P1_PS066,2019,PS066,P1,PS066,1972.270053,1739.414107,1674.640444,2733.726222,1823.455249,2236.570165,P
2019_PS066_P2_PS066,2019,PS066,P2,PS066,3127.396511,2414.351569,2929.692762,3586.090923,3028.544637,3000.221246,P
2019_PS066_P3_PS066,2019,PS066,P3,PS066,2796.191202,2680.096407,2375.329773,3634.474101,2585.760488,3157.285254,P
2019_PS060_P3_PS066,2019,PS060,P3,PS066,2064.105724,2293.127876,2151.458691,3801.48911,2107.782208,3047.308493,P
2019_PS079_P1_PS079,2019,PS079,P1,PS079,2518.950705,2696.145081,3460.130567,3047.227919,2989.540636,2871.6865,P
2019_PS079_P2_PS079,2019,PS079,P2,PS079,3259.883828,2712.848025,3631.935043,3233.747219,3445.909436,2973.297622,P
